"visitorID","age","gender","twodrinksweek","exerciseweekly","pjam_metallica_gnr","avg_rides_per_visit","lobclaw"
1,29,0,0,0,0,12,1
2,34,0,1,1,1,12,1
3,35,1,0,0,0,11,1
6,45,0,0,0,0,12,1
7,52,0,0,0,0,12,1
12,39,1,1,0,0,11,1
17,31,0,1,1,0,12,1
26,23,0,1,0,0,11,1
27,39,0,0,0,0,12,1
33,30,0,0,0,0,11,1
42,46,1,1,0,0,12,1
44,37,0,1,1,1,12,1
45,38,1,1,0,0,11,1
47,40,1,1,0,1,11,1
50,50,1,1,0,0,12,1
54,20,1,1,0,0,13,0
60,33,0,1,0,0,14,1
73,31,0,0,0,1,12,1
74,37,1,1,1,1,13,1
76,45,1,1,1,1,11,1
85,28,0,0,0,0,11,1
86,38,1,1,1,0,13,1
97,24,1,0,0,0,14,1
99,37,1,0,0,0,13,1
103,39,0,0,0,0,12,0
107,32,0,1,0,0,12,1
109,42,0,0,1,0,14,1
110,25,1,0,0,0,11,1
111,49,1,1,0,0,14,1
112,27,0,1,0,1,11,0
113,51,1,0,1,1,13,1
116,33,0,1,1,0,11,0
120,31,0,1,0,0,11,1
122,35,1,0,0,0,13,0
124,44,0,0,0,0,14,0
139,27,1,0,0,0,11,1
144,38,1,0,0,0,11,1
147,30,1,0,0,0,14,0
148,32,0,1,0,0,17,0
149,27,0,1,1,0,13,1
157,45,0,1,0,0,13,1
158,31,0,0,0,0,14,1
162,30,0,1,1,0,12,0
168,47,1,1,0,0,12,1
170,45,1,1,0,0,15,1
176,39,1,1,1,0,11,1
180,36,1,1,1,0,11,1
181,41,0,1,0,0,11,1
187,25,0,1,1,0,13,1
191,41,0,1,0,0,17,1
194,32,1,1,0,0,13,1
203,41,1,0,0,0,12,0
207,41,0,0,0,0,14,0
214,36,1,1,0,1,12,1
218,26,1,0,1,0,11,1
221,44,0,0,1,0,12,1
226,38,0,0,0,0,11,1
228,37,1,1,0,1,13,1
234,30,0,0,0,0,11,1
236,31,1,1,0,1,12,1
239,29,1,1,1,0,11,1
244,39,0,1,0,0,11,0
245,29,0,0,0,0,12,1
247,43,0,0,1,0,12,1
249,36,1,1,0,0,13,0
250,33,0,1,0,0,11,0
255,34,1,0,0,0,13,1
256,35,1,1,1,0,13,1
259,45,1,1,0,1,13,1
260,32,0,1,0,0,11,1
263,43,0,0,1,0,11,1
266,37,1,1,0,0,13,1
269,31,0,1,0,0,13,1
270,24,0,1,1,1,12,1
272,40,0,1,1,0,14,1
275,48,1,1,0,0,12,1
277,42,1,1,1,0,14,0
279,38,1,1,0,0,11,0
281,34,1,1,0,0,16,1
286,42,0,0,1,0,13,1
289,37,1,0,0,0,16,1
296,28,0,1,1,0,11,1
297,26,1,1,1,0,13,1
302,40,1,1,1,0,15,1
303,31,0,1,0,0,14,1
305,28,1,0,1,0,13,1
306,44,1,0,0,1,12,1
312,35,0,1,0,0,12,1
315,30,0,1,1,1,12,1
322,47,1,1,0,0,11,1
325,38,0,1,0,0,15,1
326,46,0,0,1,0,14,1
327,27,1,1,1,1,12,1
329,39,1,0,1,1,13,1
333,29,1,1,0,0,11,1
339,22,0,1,0,0,11,1
340,28,0,1,0,0,13,1
344,38,1,0,1,0,13,1
345,31,1,1,0,0,14,1
346,31,1,0,1,1,11,1
351,35,0,1,1,1,11,0
354,37,0,1,0,0,12,1
356,29,1,0,1,0,11,0
358,33,0,1,0,1,11,1
361,40,1,1,0,0,11,1
364,39,0,1,0,0,15,1
365,33,0,1,1,0,11,1
366,30,1,0,0,1,12,1
367,44,1,1,1,1,12,1
377,44,0,0,1,1,11,1
380,36,0,1,0,0,11,0
382,42,1,1,0,0,11,0
391,33,0,1,0,1,14,1
398,38,0,1,0,0,11,1
400,52,1,1,0,0,15,0
404,48,1,1,0,1,12,1
407,39,0,0,0,1,12,1
417,29,1,1,0,1,13,1
421,33,0,1,0,1,15,1
427,20,1,1,0,0,11,1
428,37,0,0,1,0,11,1
437,39,1,0,0,0,11,0
439,55,1,1,0,0,11,0
442,49,0,1,1,1,11,1
443,38,1,0,1,0,12,1
446,35,0,1,0,0,14,1
449,44,1,0,0,0,12,1
452,30,1,1,0,0,11,1
456,38,0,1,0,0,13,1
460,35,1,0,1,0,11,1
464,39,0,0,0,1,11,1
467,33,1,1,0,1,14,1
468,39,1,1,0,1,12,0
472,35,1,1,1,0,15,0
476,42,0,1,0,0,14,1
482,35,0,1,1,0,13,0
488,35,1,1,0,0,12,0
489,37,1,0,0,0,13,1
493,43,0,1,0,0,11,1
495,32,1,1,0,1,13,0
499,39,0,1,1,1,13,1
500,35,1,1,0,0,11,1
504,36,0,1,0,1,12,1
506,30,0,1,1,1,12,0
512,35,0,0,0,0,12,0
516,32,0,0,0,0,11,1
518,29,0,1,0,0,11,1
522,27,1,0,0,1,11,0
528,28,0,1,0,0,13,0
534,42,0,1,0,0,13,1
540,46,0,1,0,0,12,0
546,15,1,1,0,0,13,1
549,48,1,0,1,0,11,1
552,35,1,1,0,0,11,1
562,33,0,1,1,0,17,1
570,41,1,0,1,0,14,0
573,36,1,1,0,0,14,1
578,42,0,0,1,0,11,1
579,48,1,1,1,0,14,0
580,29,1,0,1,0,11,1
583,40,1,0,1,0,11,1
584,37,0,1,1,1,12,1
587,43,1,0,0,0,13,1
588,33,1,1,0,0,12,1
590,29,1,1,1,0,11,1
591,45,0,0,1,0,11,1
596,31,0,1,1,0,14,1
598,45,1,1,0,0,13,1
602,23,0,1,0,1,12,1
603,31,1,1,0,0,12,1
606,27,0,1,0,0,12,1
607,33,0,1,1,0,15,1
614,46,1,0,0,0,14,1
616,28,1,1,0,1,12,0
621,36,1,0,1,0,15,1
624,41,1,1,0,0,11,1
625,27,0,1,0,1,11,1
627,32,1,1,0,1,12,1
628,28,1,1,0,0,11,0
629,20,1,1,0,0,14,1
633,38,1,1,1,0,11,0
635,19,1,1,1,0,12,1
640,38,0,1,1,0,15,1
643,27,0,1,1,1,13,1
648,30,0,1,0,1,12,1
655,31,0,0,0,0,11,1
656,37,1,0,1,0,11,0
664,30,1,1,0,0,14,1
670,47,1,1,1,0,12,0
671,26,1,1,0,0,17,1
680,28,0,1,0,0,11,1
683,21,1,1,0,0,13,1
685,33,1,0,0,0,11,1
691,35,1,0,1,0,11,1
696,43,1,1,0,0,11,1
703,36,1,1,0,0,11,1
705,51,1,1,1,0,14,1
707,35,0,1,1,0,14,0
711,48,1,0,0,0,13,1
712,30,0,0,1,1,12,1
724,48,1,0,0,0,14,1
727,32,1,0,0,0,13,1
729,33,0,0,1,0,13,0
735,42,1,0,0,0,13,0
736,30,1,0,1,0,11,1
737,26,1,0,0,0,14,1
738,42,0,1,0,1,11,0
739,29,0,0,1,0,15,1
742,34,0,0,0,0,11,0
743,36,0,0,0,0,12,1
744,35,0,0,1,1,11,1
751,43,1,0,0,0,12,0
753,40,1,0,1,0,11,1
754,31,1,0,0,1,14,1
755,30,1,0,0,0,11,1
758,41,1,0,0,0,11,0
764,36,1,1,0,0,13,1
765,38,0,0,0,0,11,1
767,41,0,1,0,1,11,1
771,38,0,0,1,0,11,1
772,34,1,1,0,0,14,1
775,37,0,0,0,0,11,1
779,36,1,1,0,0,12,0
781,33,0,0,1,0,13,1
782,30,0,1,0,0,12,1
786,41,0,1,0,0,15,1
787,30,1,1,0,1,14,1
790,41,1,0,1,0,11,0
802,30,0,0,1,0,11,1
805,45,0,1,1,0,15,1
808,23,1,1,1,1,14,0
814,44,0,0,0,0,11,1
829,33,0,1,0,0,15,1
833,29,1,0,0,0,11,0
834,42,1,0,0,0,14,0
837,26,1,0,0,0,12,1
839,43,1,1,0,0,13,1
840,50,0,1,0,0,13,1
844,32,1,0,0,0,12,1
851,46,1,1,1,0,11,1
852,41,0,1,1,1,12,0
853,28,1,1,0,1,12,0
854,34,1,1,1,0,11,1
863,36,0,0,1,0,11,1
868,38,1,0,1,1,11,0
869,41,1,0,0,0,12,0
884,28,0,0,0,0,11,1
891,34,1,1,0,0,11,1
895,48,0,0,0,0,14,1
897,39,1,1,1,1,13,0
899,22,0,1,0,0,12,1
900,31,1,1,0,0,12,1
905,23,1,1,0,1,11,1
906,32,1,1,1,0,11,1
913,39,0,1,1,0,11,0
918,36,0,1,0,0,11,1
926,20,1,1,1,0,11,1
934,45,1,0,0,1,11,1
935,36,1,1,1,1,11,1
936,32,0,0,1,1,12,1
939,56,0,1,1,0,13,1
942,33,0,1,1,0,11,0
945,46,1,0,1,0,12,1
946,19,0,0,0,0,15,1
949,26,1,1,0,0,13,1
950,25,0,1,1,0,16,1
954,37,0,1,1,0,11,1
965,48,0,0,0,1,12,1
973,38,1,1,1,1,14,1
978,29,0,1,1,0,11,1
979,36,1,1,0,1,12,1
983,18,0,0,1,0,12,1
984,39,1,1,1,0,11,1
1001,46,0,1,1,0,13,1
1002,38,0,1,0,0,12,0
1007,29,1,1,0,0,13,0
1013,29,1,1,1,0,13,1
1016,29,0,1,1,0,12,1
1021,37,1,1,1,1,13,1
1025,34,1,1,0,0,14,1
1027,44,0,0,0,0,14,0
1029,25,0,1,0,0,15,0
1035,40,0,0,1,1,12,0
1037,30,0,0,1,0,13,1
1039,40,0,1,0,0,15,1
1046,40,1,1,1,0,12,1
1049,16,0,0,1,0,12,1
1059,21,1,1,1,0,11,1
1062,47,1,1,1,0,12,0
1063,45,0,0,0,0,13,1
1071,27,1,1,0,1,12,1
1072,27,1,1,0,1,12,1
1079,39,1,1,1,0,11,1
1080,26,0,1,0,0,11,0
1082,46,0,0,1,0,12,0
1086,52,1,0,0,0,14,1
1088,29,0,0,0,0,13,1
1092,31,1,0,0,0,13,1
1095,24,0,0,1,0,13,1
1097,40,0,0,1,0,12,1
1099,19,0,1,1,1,11,1
1104,28,1,0,0,0,11,0
1109,41,0,1,0,0,15,1
1114,34,0,1,0,0,12,0
1116,33,0,1,1,0,11,1
1117,22,1,0,0,0,12,1
1119,48,0,1,0,1,13,1
1125,49,0,1,0,0,14,0
1126,33,1,1,0,1,11,1
1131,40,1,1,0,1,13,1
1133,22,0,0,1,0,11,1
1135,21,1,0,1,1,11,1
1136,47,0,1,1,0,12,1
1141,30,0,1,0,0,11,0
1142,31,0,1,0,1,11,1
1157,48,0,1,1,0,11,1
1167,29,0,0,0,0,11,1
1169,31,0,0,1,0,12,0
1171,19,1,0,0,1,13,1
1172,38,0,1,1,1,12,1
1177,25,1,0,0,1,11,1
1191,25,0,0,0,1,11,1
1195,34,0,1,0,1,12,0
1200,33,0,1,0,1,11,0
1201,32,1,1,0,0,12,1
