"bundleID","live_science","live_nature","live_magic","dance_troupes","sing_styles","comedy_styles","show_length","avg_rating"
1,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Beatles","Improv","10",7.51643351221681
2,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Beatles","Improv","20",7.39298720039932
3,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Beatles","Improv","30",8.92136106321583
4,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Beatles","Slapstick","10",7.72637697619019
5,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Beatles","Slapstick","20",9.65949442955368
6,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Beatles","Slapstick","30",7.2158451867392
7,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Beatles","Open Mic","10",4.24796647258946
8,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Beatles","Open Mic","20",7.84290139640845
9,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Beatles","Open Mic","30",2.83895628014324
10,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Wiggles","Improv","10",4.91205410238247
11,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Wiggles","Improv","20",9.90909380909246
12,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Wiggles","Improv","30",6.22996283808718
13,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Wiggles","Slapstick","10",8.29102819849777
14,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Wiggles","Slapstick","20",6.85665250124342
15,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Wiggles","Slapstick","30",4.50155462874395
16,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Wiggles","Open Mic","10",7.2386718701121
17,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Wiggles","Open Mic","20",5.34656556539149
18,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Wiggles","Open Mic","30",3.94191148213535
19,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Italian Opera","Improv","10",6.42738251793546
20,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Italian Opera","Improv","20",7.55243748064319
21,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Italian Opera","Improv","30",4.86393324227759
22,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Italian Opera","Slapstick","10",3.38742777000978
23,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Italian Opera","Slapstick","20",5.87424088184129
24,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Italian Opera","Slapstick","30",7.20517876664023
25,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Italian Opera","Open Mic","10",7.60792719087801
26,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Italian Opera","Open Mic","20",9.32424936078628
27,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Italian Opera","Open Mic","30",3.41661858899462
28,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Open Mic","Improv","10",1.48328726992227
29,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Open Mic","Improv","20",3.23250355216963
30,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Open Mic","Improv","30",2.16938154133468
31,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Open Mic","Slapstick","10",7.43027522850296
32,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Open Mic","Slapstick","20",6.60165347681564
33,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Open Mic","Slapstick","30",4.86942957102468
34,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Open Mic","Open Mic","10",3.56939852187332
35,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Open Mic","Open Mic","20",8.5625907437456
36,"Liquid Air Show","All About Crustaceans","Card Tricks","Atlanta Ballet","Open Mic","Open Mic","30",5.32312525407898
37,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Beatles","Improv","10",5.88196222470318
38,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Beatles","Improv","20",9.01336748896837
39,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Beatles","Improv","30",7.01589999244794
40,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Beatles","Slapstick","10",6.80159376950475
41,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Beatles","Slapstick","20",8.615292252809
42,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Beatles","Slapstick","30",5.8424966269798
43,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Beatles","Open Mic","10",7.83471734288351
